,Goals,Assists,Shots,Shots_on_Target,xG,NPxG,SCA,GCA,Progressive_Passes,Progressive_Carries,Progressive_Pass_Dist,Short_Passes_Completed,Short_Pass_%,Medium_Passes_Completed,Medium_Pass_%,Long_Passes_Completed,Long_Pass_%,xA,Crosses_into_Penalty_Area,Tackles,Tackles_Won,Blocks,Interceptions,Clearances,Touches,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Take_On_Success_%,Carries_into_Final_3rd,Ball_Recoveries,Aerial_Duels_%,Post_Shot_xG,Def_Actions_Outside_Area,Avg_Dist_Actions_Outside_Area,Result
Costa_Rica_June_27_2018_World_Cup,1,1,13,6,1.6,0.8,21,1,36,12,2255,117,86.0,132,84.1,43,59.7,0.4,3,12,7,8,14,22,478,161,220,104,58.8,10,57,62.5,1.3,1.0,11.3,0
Serbia_June_27_2018_World_Cup,0,0,10,1,0.8,0.8,20,0,56,21,2564,170,84.6,140,80.9,38,61.3,0.9,3,22,14,9,11,18,578,139,265,178,60.0,14,49,61.1,1.2,0.0,10.0,0
Brazil_June_27_2018_World_Cup,2,2,14,6,1.4,1.4,25,4,38,28,2554,322,89.2,172,85.6,40,70.2,1.5,0,15,12,14,14,29,796,233,413,159,57.1,24,50,38.9,0.1,2.0,17.2,3
Japan_June_28_2018_World_Cup,0,0,10,3,0.7,0.7,17,0,39,11,2647,263,92.6,167,87.9,39,59.1,0.9,2,16,8,12,9,25,690,165,420,108,60.0,8,42,54.8,1.2,1.0,17.0,0
Poland_June_28_2018_World_Cup,1,1,11,2,1.4,1.4,19,2,35,9,2796,160,89.4,171,85.9,60,64.5,0.7,1,14,6,11,7,18,592,158,328,111,55.6,12,40,45.2,0.4,2.0,19.1,3
Senegal_June_28_2018_World_Cup,0,0,7,3,0.5,0.5,12,0,29,24,1978,113,87.6,96,79.3,26,39.4,0.3,1,18,15,7,12,17,430,138,221,82,60.9,10,56,46.7,0.3,0.0,14.0,0
Colombia_June_28_2018_World_Cup,1,1,4,2,0.3,0.3,7,1,28,6,2642,163,90.6,161,86.1,50,56.2,0.4,1,17,11,4,8,20,564,199,289,78,33.3,3,45,53.3,0.2,0.0,10.2,3
England_June_28_2018_World_Cup,0,0,11,1,0.9,0.9,21,0,27,16,2390,221,95.3,134,85.9,55,60.4,0.7,1,12,4,14,6,11,600,179,314,117,77.3,17,46,52.8,0.7,1.0,18.0,0
Belgium_June_28_2018_World_Cup,1,1,14,3,1.3,1.3,26,2,30,26,2759,196,89.9,248,94.3,45,58.4,1.0,1,17,10,9,4,20,668,226,354,96,81.3,10,42,47.2,0.9,0.0,7.3,3
Panama_June_28_2018_World_Cup,0,0,9,4,0.6,0.6,16,0,19,6,1631,101,89.4,82,75.9,32,47.8,0.3,0,16,10,7,15,30,416,154,195,72,61.5,6,46,33.3,1.9,0.0,9.0,0
Tunisia_June_28_2018_World_Cup,2,2,14,6,2.2,2.2,26,4,56,18,3286,227,88.3,252,89.7,70,66.0,2.0,4,15,11,9,10,9,747,176,432,143,58.8,12,48,66.7,0.2,0.0,10.0,3
France_June_30_2018_World_Cup,4,2,8,3,2.2,1.4,16,8,22,13,2071,131,87.9,112,89.6,37,59.7,0.4,1,20,11,11,12,24,464,178,229,64,70.0,7,45,38.1,1.4,0.0,11.0,3
Argentina_June_30_2018_World_Cup,3,3,10,4,0.8,0.8,18,5,61,26,2550,231,92.0,187,85.8,41,59.4,0.7,0,16,13,8,5,7,643,129,356,164,50.0,18,42,61.9,2.6,2.0,19.5,0
Uruguay_June_30_2018_World_Cup,2,2,5,3,0.6,0.6,9,4,18,10,2131,80,75.5,76,73.1,38,50.7,0.7,3,21,10,16,15,38,422,184,155,88,70.0,8,40,45.2,0.9,0.0,8.4,3
Portugal_June_30_2018_World_Cup,1,1,20,5,1.1,1.1,37,2,73,40,2833,244,90.0,166,85.6,69,73.4,1.2,6,16,9,10,9,18,720,118,302,303,61.9,34,59,54.8,1.7,1.0,16.3,0
Spain_July_1_2018_World_Cup,0,0,23,9,1.8,1.8,43,0,72,27,4424,526,93.3,401,92.8,97,74.6,1.9,4,17,11,6,5,21,1287,187,758,348,73.9,43,51,40.0,1.0,1.0,30.0,0
Russia_July_1_2018_World_Cup,1,0,6,0,1.0,0.3,11,1,25,13,1892,102,79.7,69,71.9,33,44.0,0.2,1,22,13,17,14,47,475,208,162,109,25.0,6,50,60.0,1.8,0.0,,3
Croatia_July_1_2018_World_Cup,1,0,19,5,2.5,1.7,37,2,54,29,3045,275,88.7,178,82.8,58,54.2,0.9,2,15,10,10,10,38,805,234,409,171,73.7,16,58,47.7,0.7,0.0,3.3,1
Denmark_July_1_2018_World_Cup,1,1,14,3,0.9,0.9,23,2,44,16,3665,196,86.7,173,81.6,63,53.4,1.0,1,10,6,17,10,36,718,228,366,128,60.0,12,48,52.3,2.1,0.0,8.0,1
Brazil_July_2_2018_World_Cup,2,2,20,10,3.2,3.2,36,3,29,25,2255,178,89.0,113,85.0,33,58.9,1.4,0,26,14,16,8,19,553,189,229,144,65.2,18,43,61.5,0.1,1.0,10.5,3
Mexico_July_2_2018_World_Cup,0,0,14,1,0.7,0.7,23,0,50,21,2404,136,90.7,181,90.0,54,62.1,0.3,0,23,11,12,8,23,586,162,282,147,56.5,27,53,38.5,2.5,2.0,15.7,0
Belgium_July_2_2018_World_Cup,3,2,24,8,2.5,2.5,44,5,54,30,3121,255,89.5,239,89.8,50,64.1,3.1,7,9,5,6,10,12,742,195,340,214,84.2,17,42,59.0,1.7,0.0,8.5,3
Japan_July_2_2018_World_Cup,2,2,11,4,0.7,0.7,19,3,24,14,2054,197,91.6,105,79.5,47,51.6,0.7,1,11,4,11,13,33,582,177,302,106,60.0,16,49,41.0,2.3,0.0,7.0,0
Sweden_July_3_2018_World_Cup,1,1,12,3,1.3,1.3,20,2,24,10,1822,90,76.3,85,76.6,22,39.3,0.8,2,7,5,21,12,34,410,176,139,101,71.4,6,47,48.4,0.2,0.0,9.5,3
Switzerland_July_3_2018_World_Cup,0,0,18,4,0.7,0.7,34,0,53,22,2851,212,91.4,232,87.2,63,64.3,0.6,6,9,6,9,9,19,709,172,372,171,80.0,18,41,51.6,1.0,0.0,10.5,0
Colombia_July_3_2018_World_Cup,1,1,14,4,0.6,0.6,26,2,40,15,2757,199,89.6,176,80.4,52,48.6,0.7,4,14,11,13,8,33,690,228,347,119,41.2,15,62,41.5,0.9,0.0,7.5,1
England_July_3_2018_World_Cup,1,0,15,1,2.1,1.3,29,2,34,18,3500,231,86.5,175,87.5,52,52.0,1.3,1,21,14,10,7,24,740,247,329,168,60.0,24,63,58.5,0.8,5.0,21.3,1
Uruguay_July_6_2018_World_Cup,0,0,11,4,1.0,1.0,18,0,37,8,1681,93,70.5,93,67.4,27,37.5,0.6,1,19,13,7,13,18,468,124,212,135,66.7,11,52,39.3,0.4,0.0,6.5,0
France_July_6_2018_World_Cup,2,2,11,2,0.5,0.5,20,4,44,19,2771,247,89.8,136,82.4,48,53.3,0.6,2,16,10,5,12,48,699,200,322,184,54.2,17,50,60.7,0.5,1.0,26.0,3
Brazil_July_6_2018_World_Cup,1,1,27,9,2.8,2.8,51,2,59,43,2598,259,91.2,164,88.6,42,76.4,2.7,2,13,9,6,19,6,660,127,289,253,64.3,29,51,37.9,0.6,0.0,,1
Belgium_July_6_2018_World_Cup,1,1,9,3,0.5,0.5,14,2,27,12,2610,145,85.8,128,85.3,48,66.7,0.3,0,17,12,20,9,30,521,223,224,88,81.3,15,48,62.1,1.9,0.0,9.0,1
Sweden_July_7_2018_World_Cup,0,0,6,3,0.5,0.5,9,0,29,9,2341,128,85.9,110,76.9,45,51.1,0.7,4,16,7,15,7,39,527,189,265,78,69.2,7,44,44.8,0.7,1.0,20.3,0
England_July_7_2018_World_Cup,2,2,12,2,1.1,1.1,22,4,36,19,2415,183,88.0,159,80.7,53,52.5,1.5,2,12,6,7,9,23,651,158,321,182,52.9,14,46,55.2,0.3,1.0,16.0,3
Russia_July_7_2018_World_Cup,2,2,13,5,1.0,1.0,24,3,40,14,2646,118,76.1,116,73.0,45,40.5,0.8,1,21,10,17,15,43,588,231,236,126,77.8,7,67,37.8,1.0,0.0,5.0,1
Croatia_July_7_2018_World_Cup,2,2,18,3,1.8,1.8,32,4,55,34,3694,281,86.2,251,82.3,89,63.6,1.0,5,12,10,11,11,28,931,267,461,213,76.7,28,72,62.2,1.7,1.0,10.1,1
France_July_10_2018_World_Cup,1,1,19,5,1.7,1.7,38,2,37,19,2196,150,88.2,100,87.0,39,63.9,1.5,2,18,12,8,8,25,483,161,215,118,50.0,14,45,61.9,0.4,0.0,6.5,3
Belgium_July_10_2018_World_Cup,0,0,9,3,0.4,0.4,16,0,50,22,2586,275,94.2,234,90.0,41,66.1,0.6,2,12,10,8,5,17,726,138,414,176,71.4,19,38,38.1,1.5,0.0,14.5,0
Croatia_July_11_2018_World_Cup,2,2,22,7,1.7,1.7,40,4,56,34,3731,256,89.8,173,77.6,75,62.5,0.7,3,19,14,7,8,33,794,228,359,213,75.0,30,66,37.9,0.3,1.0,12.7,3
England_July_11_2018_World_Cup,1,0,11,1,0.6,0.6,22,2,28,17,3130,191,89.3,148,81.3,58,46.8,0.5,0,12,8,18,8,48,698,253,301,149,69.2,14,60,62.1,2.1,0.0,12.8,0
Belgium_July_14_2018_World_Cup,2,2,12,4,1.5,1.5,21,3,32,33,2952,186,89.4,196,92.5,53,67.9,1.3,0,14,8,5,9,23,602,179,291,141,75.0,23,44,16.7,0.8,0.0,17.0,3
England_July_14_2018_World_Cup,0,0,15,5,1.0,1.0,29,0,43,36,2650,381,95.3,187,93.0,36,54.5,1.2,1,9,4,14,13,12,798,145,437,224,76.9,34,46,83.3,1.5,0.0,13.0,0
France_July_15_2018_World_Cup,3,1,6,5,1.1,0.3,10,3,10,6,2310,106,80.3,59,73.8,45,54.9,0.3,1,17,15,9,9,24,419,176,188,65,64.7,10,50,48.8,1.4,1.0,10.8,3
Croatia_July_15_2018_World_Cup,2,1,14,4,1.1,1.1,21,2,65,26,2805,234,90.0,181,82.6,57,64.0,1.2,3,23,19,8,7,8,676,160,343,179,47.1,23,64,51.2,1.5,0.0,16.0,0
