,Goals,Assists,Shots,Shots_on_Target,xG,NPxG,SCA,GCA,Progressive_Passes,Progressive_Carries,Progressive_Pass_Dist,Short_Passes_Completed,Short_Pass_%,Medium_Passes_Completed,Medium_Pass_%,Long_Passes_Completed,Long_Pass_%,xA,Crosses_into_Penalty_Area,Tackles,Tackles_Won,Blocks,Interceptions,Clearances,Touches,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Take_On_Success_%,Carries_into_Final_3rd,Ball_Recoveries,Aerial_Duels_%,Post_Shot_xG,Def_Actions_Outside_Area,Avg_Dist_Actions_Outside_Area,Result
Qatar_November_20_2022_World_Cup,0,0,5,0,0.3,0.3,10,0,24,11,1950,169,85.8,165,88.7,36,64.3,0.6,1,10,7,3,2,18,549,195,293,62,50.0,10,44,51.9,1.5,1.0,14.7,0
Ecuador_November_20_2022_World_Cup,2,1,5,2,1.2,0.4,10,4,34,11,2367,227,91.9,158,89.3,40,52.6,0.9,3,15,7,16,12,7,604,190,310,111,45.0,8,46,48.1,0.0,1.0,15.0,3
England_November_21_2022_World_Cup,6,6,13,7,2.1,2.1,22,12,53,22,3602,333,94.3,318,91.6,75,68.2,1.3,2,13,10,11,7,4,924,221,532,178,54.2,14,55,50.0,1.1,0.0,15.0,3
IR_Iran_November_21_2022_World_Cup,2,1,7,2,1.8,1.0,15,4,16,9,1142,70,79.5,62,74.7,17,35.4,0.6,0,12,9,10,16,23,345,143,141,63,11.1,8,40,50.0,3.1,0.0,7.3,0
Senegal_November_21_2022_World_Cup,0,0,15,4,0.9,0.9,27,0,27,19,1852,177,89.4,100,82.0,37,51.4,0.8,4,14,12,5,10,32,538,180,194,170,50.0,13,51,52.4,1.7,2.0,12.8,0
Netherlands_November_21_2022_World_Cup,2,1,10,3,0.7,0.7,19,3,39,15,2273,165,82.1,173,86.5,40,53.3,1.2,3,10,6,9,6,16,576,179,259,142,36.4,12,42,47.6,1.2,0.0,12.0,3
United_States_November_21_2022_World_Cup,1,1,6,1,0.8,0.8,12,2,51,31,2947,224,90.0,241,91.6,46,61.3,0.8,1,14,12,12,6,18,728,188,377,171,30.0,24,48,53.8,1.4,3.0,17.0,1
Wales_November_21_2022_World_Cup,1,0,6,2,1.5,0.8,13,2,25,7,2459,117,83.6,153,84.1,54,59.3,0.6,2,18,14,11,8,31,567,234,247,89,20.0,7,50,46.2,0.8,0.0,4.0,1
Argentina_November_22_2022_World_Cup,1,0,14,5,2.3,1.5,25,1,46,18,2707,274,89.5,222,88.1,44,63.8,1.0,3,17,7,11,9,11,752,228,371,156,42.9,7,40,69.6,1.0,0.0,5.0,0
Saudi_Arabia_November_22_2022_World_Cup,2,1,3,2,0.1,0.1,4,2,18,8,1386,94,87.0,70,70.0,22,36.7,0.2,2,18,7,14,14,26,417,140,182,98,21.4,5,35,30.4,2.5,4.0,17.4,3
