,Goals,Assists,Shots,Shots_on_Target,xG,NPxG,SCA,GCA,Progressive_Passes,Progressive_Carries,Progressive_Pass_Dist,Short_Passes_Completed,Short_Pass_%,Medium_Passes_Completed,Medium_Pass_%,Long_Passes_Completed,Long_Pass_%,xA,Crosses_into_Penalty_Area,Tackles,Tackles_Won,Blocks,Interceptions,Clearances,Touches,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Take_On_Success_%,Carries_into_Final_3rd,Ball_Recoveries,Aerial_Duels_%,Post_Shot_xG,Def_Actions_Outside_Area,Avg_Dist_Actions_Outside_Area,Result
Croatia_June_18_2021_European_Championship,1,1,11,2,0.9,0.9,22,2,30,25,2278,165,86.8,155,88.1,43,58.1,0.7,2,7,3,17,11,17,570,200,269,111,71.4,18,51,45.8,1.0,0,6.0,1
Czechia_June_18_2021_European_Championship,1,0,10,0,1.6,0.8,22,2,45,22,2516,190,87.6,137,80.6,40,53.3,1.3,0,12,7,7,4,14,575,180,251,151,70.0,11,52,54.2,0.5,0,8.0,1
England_June_18_2021_European_Championship,0,0,9,1,1.4,1.4,18,0,48,23,3006,224,94.9,239,93.0,43,58.9,1.6,2,12,10,7,2,7,671,164,349,164,61.1,18,41,52.8,0.2,1,12.8,1
Scotland_June_18_2021_European_Championship,0,0,11,1,0.7,0.7,19,0,31,8,2233,134,93.1,134,86.5,40,50.6,0.4,3,15,9,10,5,18,476,145,233,102,57.1,10,37,47.2,0.1,0,,1
Hungary_June_19_2021_European_Championship,1,1,5,3,0.4,0.4,10,2,15,8,1836,146,88.0,118,88.7,20,40.8,0.1,0,16,12,7,4,24,468,258,169,44,38.5,6,43,12.5,1.3,0,4.0,1
France_June_19_2021_European_Championship,1,0,15,4,2.0,2.0,27,1,82,28,3476,247,92.2,288,92.6,72,80.9,1.8,4,16,8,8,9,3,777,100,424,258,52.6,20,55,87.5,1.6,2,15.8,1
Portugal_June_19_2021_European_Championship,2,2,7,2,2.0,2.0,13,4,32,8,2361,159,93.0,164,89.6,52,67.5,2.4,2,10,5,7,7,16,545,189,239,121,50.0,10,38,41.2,2.3,0,6.0,1
Germany_June_19_2021_European_Championship,2,2,12,7,2.6,2.6,19,4,61,15,2951,265,94.6,219,90.5,44,68.8,2.2,4,11,8,12,8,18,694,166,373,158,71.4,16,48,58.8,1.9,0,11.5,1
Spain_June_19_2021_European_Championship,1,1,11,5,3.2,2.1,19,1,68,25,2866,351,89.5,205,91.1,67,77.9,2.2,5,8,6,10,7,10,860,142,420,303,30.8,35,57,50.0,0.8,0,21.0,1
Poland_June_19_2021_European_Championship,1,1,5,2,1.3,1.3,8,2,10,4,1465,69,74.2,39,68.4,30,42.3,0.9,2,22,11,10,15,34,383,171,137,81,60.0,3,51,50.0,2.2,0,7.3,1
Italy_June_20_2021_European_Championship,1,1,23,6,2.0,2.0,42,2,54,19,2696,254,95.8,259,91.8,52,77.6,1.1,4,12,7,4,4,7,717,161,367,192,71.4,22,32,58.3,0.0,0,,3
Wales_June_20_2021_European_Championship,0,0,3,1,0.4,0.4,6,0,11,4,1553,93,90.3,88,83.8,27,41.5,0.4,0,11,3,10,8,14,360,184,117,59,50.0,5,20,41.7,1.3,0,9.0,0
Switzerland_June_20_2021_European_Championship,3,3,23,10,2.1,2.1,44,6,52,17,2946,230,90.9,161,89.9,37,56.9,1.9,1,14,9,7,11,14,638,159,307,177,75.0,18,48,54.5,1.2,0,,3
Turkiye_June_20_2021_European_Championship,1,1,19,6,1.2,1.2,38,2,38,16,2604,217,90.0,178,90.8,29,51.8,1.1,3,22,10,18,10,19,634,193,298,147,58.8,15,45,45.5,3.7,1,14.5,0
North_Macedonia_June_21_2021_European_Championship,0,0,13,1,1.1,1.1,22,0,29,23,2657,173,91.1,140,84.8,47,68.1,0.5,1,18,12,12,21,12,575,230,228,126,21.4,22,69,28.6,3.0,4,18.6,0
Netherlands_June_21_2021_European_Championship,3,3,17,6,3.3,3.3,27,5,63,28,3139,242,86.4,226,91.9,45,66.2,2.6,0,26,15,17,13,11,745,176,363,216,69.6,19,73,71.4,0.2,0,18.0,3
