,Goals,Assists,Shots,Shots_on_Target,xG,NPxG,SCA,GCA,Progressive_Passes,Progressive_Carries,Progressive_Pass_Dist,Short_Passes_Completed,Short_Pass_%,Medium_Passes_Completed,Medium_Pass_%,Long_Passes_Completed,Long_Pass_%,xA,Crosses_into_Penalty_Area,Tackles,Tackles_Won,Blocks,Interceptions,Clearances,Touches,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Take_On_Success_%,Carries_into_Final_3rd,Ball_Recoveries,Aerial_Duels_%,Post_Shot_xG,Def_Actions_Outside_Area,Avg_Dist_Actions_Outside_Area,Result
Brazil_June_13_2021_Copa_America,3,1,17,6,5.1,4.4,30,5,65,20,2859,247,92.5,219,89.0,33,62.3,1.6,3,19,8,3,16,7,693,142,366,193,57.9,12,53,57.1,0.3,0,19.0,3
Venezuela_June_13_2021_Copa_America,0,0,3,1,0.1,0.1,5,0,21,11,2045,143,88.3,112,86.8,36,59.0,0.1,0,15,7,12,10,21,466,156,252,64,57.9,11,40,42.9,4.2,2,16.5,0
Argentina_June_14_2021_Copa_America,1,0,18,5,2.8,2.8,34,2,35,21,1870,129,85.4,157,84.9,23,46.9,1.6,2,16,11,4,13,14,497,133,227,144,66.7,17,37,57.7,1.0,0,8.5,1
Chile_June_14_2021_Copa_America,1,0,4,3,1.6,0.5,9,1,26,9,1736,147,86.0,120,82.2,35,55.6,0.4,0,7,5,10,5,23,505,166,257,84,40.0,13,42,42.3,2.2,0,6.5,1
Colombia_June_13_2021_Copa_America,1,1,5,2,0.5,0.5,10,2,23,7,2163,130,94.2,110,81.5,38,51.4,0.6,0,24,18,9,16,21,481,229,192,65,58.3,6,53,51.4,0.8,0,4.3,3
Ecuador_June_13_2021_Copa_America,0,0,8,2,0.3,0.3,13,0,44,29,2495,214,87.7,159,84.6,41,61.2,0.6,0,13,10,3,5,4,612,159,298,161,58.1,11,57,48.6,0.7,0,10.0,0
Paraguay_June_14_2021_Copa_America,3,1,34,11,4.1,4.1,59,4,94,46,3373,283,94.6,298,91.7,56,75.7,3.0,12,16,8,3,9,6,818,139,357,330,62.5,33,44,75.0,1.0,0,9.0,3
Bolivia_June_14_2021_Copa_America,1,0,3,1,0.9,0.1,5,1,3,9,1266,66,86.8,45,70.3,22,36.1,0.1,0,11,7,10,6,28,305,154,89,68,58.3,10,28,25.0,3.2,0,8.5,0
Colombia_June_17_2021_Copa_America,0,0,23,8,2.4,2.4,38,0,74,17,3345,216,90.4,234,89.7,74,77.1,2.3,3,11,5,6,11,12,726,143,378,209,52.6,13,53,76.5,0.0,1,18.7,1
Venezuela_June_17_2021_Copa_America,0,0,2,0,0.1,0.1,2,0,11,4,1562,122,87.8,78,82.1,30,39.5,0.3,0,13,7,9,15,24,440,200,201,48,60.0,5,47,23.5,1.1,1,10.3,1
Chile_June_18_2021_Copa_America,1,1,18,11,1.9,1.9,33,0,47,18,3076,291,93.9,216,87.4,69,71.9,1.4,5,16,9,5,15,10,797,244,320,239,60.0,21,55,44.4,0.2,1,25.0,3
Bolivia_June_18_2021_Copa_America,0,0,10,3,0.8,0.8,19,0,37,23,2242,182,87.9,120,85.7,33,63.5,1.0,1,9,4,7,12,25,547,163,222,166,55.0,25,48,55.6,2.5,0,9.0,0
Brazil_June_17_2021_Copa_America,4,3,17,8,3.8,3.8,31,7,40,21,2749,265,93.6,187,88.2,31,73.8,2.2,0,18,10,11,6,6,663,157,376,137,63.0,17,55,58.8,0.9,0,5.0,3
Peru_June_17_2021_Copa_America,0,0,7,2,1.7,1.7,10,0,28,6,1924,196,94.2,139,88.5,30,48.4,0.3,0,25,13,5,5,17,563,160,320,85,78.6,11,50,41.2,4.0,1,15.0,0
Argentina_June_18_2021_Copa_America,1,1,9,6,0.8,0.8,16,2,38,27,2318,180,90.9,183,89.3,34,47.9,0.9,1,10,8,10,13,14,582,178,255,159,55.6,20,42,61.9,0.0,0,4.5,3
Uruguay_June_18_2021_Copa_America,0,0,4,0,0.1,0.1,6,0,45,19,2375,237,90.5,197,86.4,40,59.7,0.3,2,21,9,7,6,18,689,156,370,166,50.0,19,46,38.1,1.4,0,9.7,0
