,Goals,Assists,Shots,Shots_on_Target,xG,NPxG,SCA,GCA,Progressive_Passes,Progressive_Carries,Progressive_Pass_Dist,Short_Passes_Completed,Short_Pass_%,Medium_Passes_Completed,Medium_Pass_%,Long_Passes_Completed,Long_Pass_%,xA,Crosses_into_Penalty_Area,Tackles,Tackles_Won,Blocks,Interceptions,Clearances,Touches,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Take_On_Success_%,Carries_into_Final_3rd,Ball_Recoveries,Aerial_Duels_%,Post_Shot_xG,Def_Actions_Outside_Area,Avg_Dist_Actions_Outside_Area,Result
Venezuela_June_20_2021_Copa_America,2,2,9,3,1.1,1.1,15,4,18,9,1390,75,78.1,69,70.4,22,39.3,0.6,2,28,16,12,14,21,394,141,194,67,33.3,5,47,40.0,2.6,0,8.7,1
Ecuador_June_20_2021_Copa_America,2,1,19,6,4.2,4.2,27,2,49,20,2694,258,89.9,196,92.0,45,66.2,2.0,8,22,4,15,15,11,728,132,405,195,44.1,15,58,60.0,2.0,1,21.5,1
Uruguay_June_21_2021_Copa_America,1,0,17,5,1.6,1.6,29,1,50,25,2264,184,90.6,166,83.0,51,67.1,0.7,4,11,7,4,9,4,605,112,318,185,63.6,24,43,57.7,0.5,0,5.0,1
Chile_June_21_2021_Copa_America,1,1,7,1,0.8,0.8,13,2,30,11,2212,177,90.3,119,88.1,43,58.1,0.5,1,15,8,12,8,28,547,190,273,86,66.7,10,45,42.3,1.3,1,15.3,1
Colombia_June_20_2021_Copa_America,1,0,11,3,1.5,0.7,21,2,55,17,2648,229,89.8,160,87.4,45,61.6,1.4,1,20,15,11,11,10,658,168,348,146,70.8,16,62,66.7,1.0,2,18.3,1
Peru_June_20_2021_Copa_America,1,0,11,3,0.9,0.9,19,1,30,10,2048,150,90.4,94,81.7,34,44.2,1.0,1,14,12,9,11,20,500,154,248,102,25.0,11,61,33.3,1.2,2,16.0,1
Argentina_June_21_2021_Copa_America,1,1,9,4,1.1,1.1,16,2,27,19,2385,201,91.4,119,83.8,34,73.9,0.6,0,24,14,23,17,19,572,207,257,114,50.0,17,47,42.9,0.2,2,21.7,3
Paraguay_June_21_2021_Copa_America,0,0,10,2,0.5,0.5,17,0,42,14,2312,260,94.2,174,89.7,30,53.6,1.1,0,18,12,11,13,10,665,169,319,186,52.2,16,50,57.1,1.0,0,,0
Ecuador_June_23_2021_Copa_America,1,1,16,6,2.2,2.2,29,2,54,20,2310,185,87.3,127,81.9,46,51.1,1.7,1,19,15,10,13,7,595,145,269,185,88.2,14,57,47.1,2.2,0,,0
Peru_June_23_2021_Copa_America,2,2,7,4,1.5,1.5,12,4,22,11,1833,138,86.3,90,81.8,22,39.3,0.5,0,7,5,15,13,30,489,183,225,85,52.9,11,54,52.9,2.2,0,,3
Bolivia_June_24_2021_Copa_America,0,0,4,3,0.1,0.1,8,0,33,13,2555,179,88.6,155,88.6,48,60.0,0.3,0,18,8,14,10,12,622,234,297,100,40.0,14,44,29.2,1.7,0,12.5,0
Uruguay_June_24_2021_Copa_America,1,1,22,7,3.5,3.5,42,2,51,30,2884,225,89.6,161,84.7,49,71.0,3.7,5,25,13,9,16,8,657,141,304,221,67.7,22,64,70.8,0.8,1,17.3,3
Brazil_June_23_2021_Copa_America,2,2,15,4,2.9,2.9,29,4,79,25,3071,295,89.4,246,88.8,31,59.6,2.3,2,17,9,9,11,8,798,127,410,269,53.8,29,68,64.3,0.3,2,22.0,3
Colombia_June_23_2021_Copa_America,1,1,3,2,0.2,0.2,4,2,15,3,1705,105,84.0,77,72.0,29,43.3,0.1,1,28,14,10,21,29,453,231,188,42,50.0,7,56,35.7,2.1,1,10.8,0
Chile_June_24_2021_Copa_America,0,0,5,1,0.2,0.2,9,0,50,24,3202,276,91.4,258,89.0,38,64.4,0.7,3,13,7,8,12,10,777,225,401,156,44.4,20,63,30.8,1.6,2,22.3,0
Paraguay_June_24_2021_Copa_America,2,1,6,2,1.4,0.6,9,2,18,16,2275,110,82.7,94,74.6,35,57.4,0.5,0,24,11,14,20,20,469,171,216,90,30.8,12,54,69.2,0.1,0,8.0,3
Venezuela_June_27_2021_Copa_America,0,0,10,3,0.8,0.8,18,0,30,17,2611,173,93.0,162,88.5,53,63.1,0.6,2,14,12,11,27,10,582,195,297,96,45.0,15,48,55.2,1.2,0,,0
Peru_June_27_2021_Copa_America,1,0,12,4,1.7,1.7,18,0,35,8,2674,306,92.4,175,87.9,37,58.7,0.9,0,23,14,9,10,16,731,186,422,126,64.3,10,54,44.8,0.2,2,23.0,3
Brazil_June_27_2021_Copa_America,1,1,6,3,1.1,1.1,10,2,40,10,2528,222,91.4,230,92.7,31,54.4,1.0,0,24,17,10,10,33,667,243,295,133,75.0,13,46,63.4,0.3,1,10.3,1
Ecuador_June_27_2021_Copa_America,1,1,8,3,0.6,0.6,12,2,22,9,1345,147,91.9,92,85.2,29,38.2,0.6,3,11,6,5,10,16,465,133,188,147,42.9,7,42,36.6,1.6,1,24.0,1
Bolivia_June_28_2021_Copa_America,1,1,5,2,0.3,0.3,9,2,23,14,1784,165,88.2,120,88.9,31,63.3,0.2,0,16,6,7,13,19,498,194,229,81,57.1,15,45,42.9,5.8,0,8.5,0
Argentina_June_28_2021_Copa_America,4,2,17,12,5.1,4.3,27,7,61,22,3692,389,94.0,306,92.2,63,82.9,2.3,2,13,9,9,11,8,941,225,486,239,65.2,22,55,57.1,0.5,0,,3
Uruguay_June_28_2021_Copa_America,1,0,17,5,1.8,1.0,29,2,48,19,2791,215,90.7,170,85.9,39,58.2,1.1,1,14,7,18,10,12,648,170,323,165,60.0,15,65,47.1,0.0,3,29.7,3
Paraguay_June_28_2021_Copa_America,0,0,4,0,0.8,0.8,8,0,53,14,3122,190,91.3,212,86.5,52,65.0,0.7,2,16,8,11,20,17,683,181,370,135,38.9,13,53,52.9,1.4,0,,0
Peru_July_2_2021_Copa_America,2,2,12,5,1.8,1.8,23,4,41,21,2417,168,90.8,165,86.4,31,53.4,1.3,1,11,7,8,9,27,563,173,263,131,46.4,15,50,39.0,3.0,1,24.0,0
Paraguay_July_2_2021_Copa_America,3,0,14,8,2.8,2.8,24,5,30,12,2497,105,78.4,98,81.7,57,63.3,0.7,1,19,10,8,10,13,473,132,208,139,46.2,9,47,61.0,1.3,1,10.5,3
Uruguay_July_3_2021_Copa_America,0,0,7,3,0.3,0.3,11,0,45,18,2302,174,89.2,144,83.7,36,49.3,0.7,2,19,11,13,16,19,565,174,241,158,61.9,16,49,26.3,0.3,1,15.0,1
Colombia_July_3_2021_Copa_America,0,0,9,3,0.5,0.5,17,0,37,16,2627,165,86.4,156,84.3,50,71.4,0.5,1,11,6,10,13,30,587,200,272,123,73.3,10,50,73.7,0.4,0,7.3,1
Brazil_July_2_2021_Copa_America,1,0,10,5,2.3,2.3,19,2,25,25,2000,158,90.8,124,86.1,24,53.3,0.8,1,10,5,8,16,14,498,182,189,136,62.5,19,53,45.2,0.7,0,5.0,3
Chile_July_2_2021_Copa_America,0,0,11,5,0.5,0.5,19,0,42,21,2382,207,92.8,172,87.8,51,72.9,0.6,5,13,9,14,9,12,650,169,288,195,66.7,20,52,54.8,1.5,3,18.6,0
Argentina_July_3_2021_Copa_America,3,2,21,7,3.2,3.2,35,5,26,20,1765,112,86.2,112,87.5,26,55.3,1.3,1,14,11,2,8,20,430,114,202,115,52.9,13,42,62.1,0.5,0,12.3,3
Ecuador_July_3_2021_Copa_America,0,0,10,2,1.3,1.3,19,0,22,9,1709,141,90.4,98,83.1,30,48.4,1.1,2,20,13,12,6,13,473,148,217,108,31.3,8,37,37.9,3.4,3,21.2,0
Brazil_July_5_2021_Copa_America,1,1,15,8,2.8,2.8,26,2,42,16,2875,198,87.2,203,90.2,30,52.6,2.0,1,26,12,7,19,10,674,183,359,137,53.3,11,61,44.8,0.1,0,6.0,3
Peru_July_5_2021_Copa_America,0,0,7,2,0.7,0.7,13,0,29,5,1902,183,88.8,90,76.9,29,50.9,0.5,0,24,13,10,14,14,568,158,296,120,53.8,12,67,55.2,2.5,1,13.0,0
Argentina_July_6_2021_Copa_America,1,1,13,3,2.4,2.4,22,2,28,15,1854,146,88.0,138,89.6,28,58.3,1.6,0,17,7,12,9,13,510,149,254,120,57.1,15,37,76.5,1.0,0,10.8,1
Colombia_July_6_2021_Copa_America,1,1,14,4,0.7,0.7,24,2,30,14,2199,143,91.1,140,85.4,42,56.0,0.4,1,21,11,10,8,6,514,192,230,101,64.5,9,40,23.5,0.7,2,19.2,1
Colombia_July_9_2021_Copa_America,3,2,12,6,1.1,1.1,22,6,40,23,2501,203,89.4,97,76.4,45,67.2,0.6,2,23,12,9,7,9,540,112,278,157,66.7,18,56,75.0,1.4,0,11.7,3
Peru_July_9_2021_Copa_America,2,2,10,3,1.8,1.8,18,3,36,20,2727,214,95.1,186,93.0,41,60.3,1.0,3,13,9,8,11,16,641,224,324,99,51.7,17,59,25.0,1.9,1,19.0,0
Argentina_July_10_2021_Copa_America,1,1,6,2,0.5,0.5,10,2,22,11,2181,126,85.1,121,85.2,37,61.7,0.4,0,26,14,14,10,18,480,184,217,83,50.0,10,49,35.3,0.0,0,,3
Brazil_July_10_2021_Copa_America,0,0,13,2,0.7,0.7,25,0,54,16,2814,205,91.1,195,89.9,40,65.6,0.4,1,22,9,11,6,5,634,163,328,150,54.5,14,54,64.7,0.3,1,22.0,0
